Timestamp,What is your age?,Which nation or region of the UK do you live in?,"The first part of your postcode only, for example SW1A (optional)","Are you currently involved with a youth council, youth group or youth organisation?",What are the top three things you want the government to bring back for young people?,Is there anything else you would bring back that is not on that list?,What is the biggest problem facing young people across the UK today?,"In your own words, why did you choose that for the UK?",What is the biggest problem facing young people across the Commonwealth today?,"In your own words, why did you choose that for the Commonwealth?","Thinking about young people you know, how well is each of these working for young people right now? [Mental health and wellbeing]","Thinking about young people you know, how well is each of these working for young people right now? [Youth services and safe places to go]","Thinking about young people you know, how well is each of these working for young people right now? [Education and curriculum for life]","Thinking about young people you know, how well is each of these working for young people right now? [Jobs, apprenticeships and work experience]","Thinking about young people you know, how well is each of these working for young people right now? [Cost of living and financial security]","Thinking about young people you know, how well is each of these working for young people right now? [Transport and getting around]","Thinking about young people you know, how well is each of these working for young people right now? [Housing and a place to live]","Thinking about young people you know, how well is each of these working for young people right now? [Crime, safety and policing]","Thinking about young people you know, how well is each of these working for young people right now? [Equality, discrimination and racism]","Thinking about young people you know, how well is each of these working for young people right now? [Climate and the environment]","Thinking about young people you know, how well is each of these working for young people right now? [Democracy and youth voice]","Thinking about young people you know, how well is each of these working for young people right now? [Digital life and online safety]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Mental health and wellbeing],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Youth services and safe places to go],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Education and curriculum for life],"How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Jobs, apprenticeships and work experience]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Cost of living and financial security],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Transport and getting around],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Housing and a place to live],"How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Crime, safety and policing]","How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Equality, discrimination and racism]",How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Climate and the environment],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Democracy and youth voice],How important is each of these to a young person’s long-term future — the next ten to fifteen years? [Digital life and online safety],How urgent is each of these for young people over the next twelve months? [Mental health and wellbeing],How urgent is each of these for young people over the next twelve months? [Youth services and safe places to go],How urgent is each of these for young people over the next twelve months? [Education and curriculum for life],"How urgent is each of these for young people over the next twelve months? [Jobs, apprenticeships and work experience]",How urgent is each of these for young people over the next twelve months? [Cost of living and financial security],How urgent is each of these for young people over the next twelve months? [Transport and getting around],How urgent is each of these for young people over the next twelve months? [Housing and a place to live],"How urgent is each of these for young people over the next twelve months? [Crime, safety and policing]","How urgent is each of these for young people over the next twelve months? [Equality, discrimination and racism]",How urgent is each of these for young people over the next twelve months? [Climate and the environment],How urgent is each of these for young people over the next twelve months? [Democracy and youth voice],How urgent is each of these for young people over the next twelve months? [Digital life and online safety],Which of these should the UK push hardest on across the Commonwealth?,"If you could say one thing directly to the Heads of Government, what would it be?",Which of these best describes your gender?,Which of these best describes your ethnic background?,Do you have a disability or a long-term health condition?,Which best describes what you are doing at the moment?,"Have you ever been in care, or are you care experienced?",I have read the privacy notice and I am happy for my answers to be used in this consultation
24/10/2026 20:38:11,Over 25,South West England,BS1,No,"Funded national youth voice structures (a British Youth Council style body), Cheaper rail travel and a wider young persons railcard, Free or capped bus travel for under-25s",,Cost of living and financial security,,Climate and the environment,,6,5,6,1,0,3,0,8,2,6,6,6,4,8,8,9,8,6,6,9,5,8,10,7,9,10,7,7,10,8,7,4,7,9,6,9,"Cost of living and financial security, Climate and the environment",Racism is still shaping who gets opportunities in every country here. Say so out loud.,Female,White,No,Prefer not to say,Yes,Yes
24/10/2026 16:29:31,22 to 25,Isle of Man,,No,"Restored further education and adult skills funding, and lower tuition fees, Funded open-access youth clubs and youth workers in every area, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",,Mental health and wellbeing,You cannot plan a future when you cannot afford anywhere to live.,Mental health and wellbeing,Climate change is already displacing people my age in Pacific member states.,2,3,5,3,5,3,1,5,9,6,4,4,7,6,7,10,6,4,9,5,3,10,7,7,9,6,7,5,8,10,6,10,7,6,4,7,"Equality, discrimination and racism, Education and curriculum for life",,Female,White,No,In school or college,No,Yes
25/10/2026 14:04:40,Under 13,North West England,WA1,Prefer not to say,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Funded open-access youth clubs and youth workers in every area",,Housing and a place to live,,Climate and the environment,,1,4,3,6,2,8,1,5,5,4,3,8,7,4,10,5,6,10,10,5,10,2,6,4,9,9,6,6,10,8,10,10,3,6,6,5,"Cost of living and financial security, Equality, discrimination and racism",You measure success in GDP. Measure it in whether an 18-year-old can see a future where they live.,Female,White,No,Apprenticeship or training,No,Yes
23/10/2026 16:13:22,16 to 18,South West England,BS1,No,"Free school meals for more pupils, and holiday food provision, Cheaper rail travel and a wider young persons railcard, Free or capped bus travel for under-25s",Free school transport past the age of 16.,Housing and a place to live,You cannot plan a future when you cannot afford anywhere to live.,Climate and the environment,,5,5,5,4,0,5,2,3,3,3,2,7,10,8,10,9,10,10,10,6,8,5,5,9,10,6,10,10,10,6,8,4,7,6,7,5,"Crime, safety and policing, Jobs, apprenticeships and work experience",,Female,White,No,Prefer not to say,No,Yes
24/10/2026 10:06:31,13 to 15,Northern Ireland,BT9,No,Funded open-access youth clubs and youth workers in every area,,"Equality, discrimination and racism",,"Equality, discrimination and racism",There are not enough jobs for the number of graduates being produced.,,0,5,,8,,,,,0,6,,,,10,9,8,6,,,,10,8,7,7,,,,10,4,10,5,10,,9,8,Cost of living and financial security,Every promise made about climate finance has a deadline that falls after you have all left office. Bring the deadlines forward.,Male,White,Yes,In school or college,No,Yes
25/10/2026 10:42:55,19 to 21,East Midlands,DE1,Prefer not to say,"Arts, music and drama in the curriculum, and free or low-cost music tuition, Cheaper rail travel and a wider young persons railcard",Proper funding for school counselling.,Mental health and wellbeing,,"Jobs, apprenticeships and work experience",,3,7,6,6,4,4,6,1,7,6,3,8,8,9,8,10,7,7,7,10,10,8,7,8,10,5,9,8,9,7,9,10,6,9,5,10,"Democracy and youth voice, Climate and the environment",,Non-binary,White,No,"Not in education, employment or training",No,Yes
24/10/2026 16:38:18,19 to 21,North East England,DH1,Yes,"Guaranteed work experience placements for every pupil, A school nurse and a trained counsellor in every school, Independent careers advice in every school (a Connexions style service)",,Education and curriculum for life,,"Jobs, apprenticeships and work experience",Online access decides who gets opportunities and it is very unequal.,1,3,5,6,4,0,0,3,6,3,5,4,10,4,6,6,8,6,10,5,7,10,6,3,5,6,4,9,8,8,6,3,8,6,7,6,"Climate and the environment, Mental health and wellbeing",,Female,White,No,At university,No,Yes
23/10/2026 09:55:39,13 to 15,South East England,,Yes,"Community sports facilities, playing fields and free swimming",Free school transport past the age of 16.,Mental health and wellbeing,Everything costs more and nothing about young people’s pay has changed.,"Jobs, apprenticeships and work experience",,6,4,1,2,2,2,0,4,8,5,4,3,10,8,10,10,10,7,8,7,5,7,8,6,10,7,9,6,6,9,10,5,3,8,6,10,"Cost of living and financial security, Digital life and online safety",,Male,"Black, Black British, Caribbean or African",No,At university,No,Yes
25/10/2026 09:16:08,19 to 21,Yorkshire and the Humber,WF1,No,"Free or capped bus travel for under-25s, Sure Start style family and early years centres, Arts, music and drama in the curriculum, and free or low-cost music tuition",,Housing and a place to live,Apprenticeships near me pay so little that you need parents who can support you.,"Jobs, apprenticeships and work experience",,1,2,10,3,4,2,1,2,3,2,7,6,8,5,8,8,6,9,6,5,9,9,6,8,10,10,8,6,10,6,7,4,4,5,4,6,"Cost of living and financial security, Climate and the environment","Education across the Commonwealth should prepare us for the jobs that will exist, not the ones that did.",Male,"Black, Black British, Caribbean or African",No,In school or college,No,Yes
24/10/2026 13:11:50,13 to 15,East Midlands,,No,"Funded open-access youth clubs and youth workers in every area, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",,Cost of living and financial security,,Cost of living and financial security,Youth unemployment across the Commonwealth is the common thread in all of this.,4,5,8,2,5,1,1,5,8,3,5,3,6,5,6,7,9,10,10,10,5,8,8,7,6,6,4,7,7,6,3,6,7,9,6,9,Education and curriculum for life,,Female,White,No,In school or college,Prefer not to say,Yes
24/10/2026 20:55:16,16 to 18,South West England,PL4,No,"Community sports facilities, playing fields and free swimming, A school nurse and a trained counsellor in every school, Funded open-access youth clubs and youth workers in every area",,"Jobs, apprenticeships and work experience",,"Equality, discrimination and racism",,4,7,5,6,4,5,3,4,5,4,5,6,5,9,9,4,6,6,7,3,3,10,8,9,9,7,8,9,10,5,5,9,6,5,7,7,"Cost of living and financial security, Climate and the environment",,Male,Other ethnic group,Yes,"Not in education, employment or training",No,Yes
24/10/2026 20:41:06,16 to 18,South East England,,No,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Free school meals for more pupils, and holiday food provision, Guaranteed work experience placements for every pupil","Youth centres open at weekends, not just weekdays.",Mental health and wellbeing,Everything costs more and nothing about young people’s pay has changed.,Education and curriculum for life,Girls are still being taken out of education early in too many countries.,5,6,7,,0,,7,5,5,10,,,,,7,6,10,8,7,7,,,6,7,10,,,7,,7,7,7,6,7,,,Education and curriculum for life,We cannot build a future in countries we cannot afford to live in. Housing is the whole argument.,Female,White,Yes,In school or college,No,Yes
25/10/2026 14:49:44,16 to 18,London,,No,"Guaranteed work experience placements for every pupil, Free or capped bus travel for under-25s",,Education and curriculum for life,,Housing and a place to live,,6,6,4,5,2,4,5,2,1,5,6,8,9,4,9,10,6,8,8,7,5,7,8,10,9,7,10,6,9,10,8,10,8,8,4,7,Climate and the environment,"Apprenticeships that pay less than rent are not opportunities, they are a trap.",Male,White,No,Working,No,Yes
24/10/2026 11:40:54,16 to 18,East of England,,Yes,"Funded open-access youth clubs and youth workers in every area, Guaranteed work experience placements for every pupil, Free or capped bus travel for under-25s",Free swimming for under-18s.,Housing and a place to live,People my age are scared on public transport and nobody talks about it.,Education and curriculum for life,,3,5,5,7,3,5,4,5,5,7,4,9,9,5,9,9,6,9,10,7,10,4,6,7,9,6,6,9,7,10,7,7,7,7,4,1,Cost of living and financial security,,Male,Asian or Asian British,No,Working,No,Yes
26/10/2026 19:10:42,16 to 18,Scotland,,Yes,"Arts, music and drama in the curriculum, and free or low-cost music tuition, Community sports facilities, playing fields and free swimming",Free school transport past the age of 16.,Cost of living and financial security,,"Jobs, apprenticeships and work experience",,3,,,4,7,,3,,,,,,9,,8,,,,10,,,8,,,,,6,,,7,6,6,5,,,,"Climate and the environment, Housing and a place to live",Fund the youth workers. They are the only adults some of us actually trust.,Female,Asian or Asian British,No,In school or college,No,Yes
24/10/2026 13:37:20,22 to 25,London,,No,"Restored further education and adult skills funding, and lower tuition fees, Independent careers advice in every school (a Connexions style service), Arts, music and drama in the curriculum, and free or low-cost music tuition",,Education and curriculum for life,Everyone I know is choosing between transport to college and lunch.,Education and curriculum for life,,2,5,2,3,2,4,2,7,0,7,6,8,8,6,9,10,10,10,10,8,6,6,7,9,8,7,4,8,7,5,8,9,10,5,4,7,"Transport and getting around, Climate and the environment",Every promise made about climate finance has a deadline that falls after you have all left office. Bring the deadlines forward.,Female,White,Prefer not to say,Apprenticeship or training,No,Yes
25/10/2026 16:39:21,19 to 21,East of England,CM1,No,"Free school meals for more pupils, and holiday food provision, Guaranteed work experience placements for every pupil",,"Crime, safety and policing",,"Equality, discrimination and racism",,3,3,6,3,4,2,0,1,3,2,3,5,10,9,10,7,9,6,7,8,8,10,7,9,5,7,7,9,7,10,6,9,8,6,3,6,"Jobs, apprenticeships and work experience",,Male,White,No,In school or college,No,Yes
25/10/2026 16:15:02,19 to 21,South West England,BS8,No,"Community sports facilities, playing fields and free swimming, Cheaper rail travel and a wider young persons railcard",,Housing and a place to live,,"Crime, safety and policing",Online access decides who gets opportunities and it is very unequal.,2,3,2,1,2,6,0,5,7,4,7,7,9,7,8,8,7,10,8,9,9,9,10,7,10,5,7,7,7,8,7,8,8,2,5,4,"Climate and the environment, Jobs, apprenticeships and work experience",,Male,White,Yes,In school or college,No,Yes
24/10/2026 14:23:07,22 to 25,London,,No,"Guaranteed work experience placements for every pupil, Free or capped bus travel for under-25s",,Mental health and wellbeing,,Education and curriculum for life,,4,4,0,1,7,5,0,5,6,5,2,7,7,6,5,10,6,10,9,5,10,7,5,7,10,2,3,5,4,3,9,7,9,7,6,5,"Equality, discrimination and racism, Education and curriculum for life",Listen to young people from small island states before it is too late to listen to them at all.,Male,White,No,In school or college,No,Yes
26/10/2026 15:40:06,22 to 25,West Midlands,,No,Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study,Free school transport past the age of 16.,Mental health and wellbeing,My school had one careers adviser for eight hundred students.,"Equality, discrimination and racism",Young people are excluded from decisions in almost every member state.,4,2,3,0,2,0,3,4,4,5,6,7,10,7,8,7,7,7,10,8,8,7,5,8,8,10,3,7,10,7,9,8,6,7,4,3,"Jobs, apprenticeships and work experience, Equality, discrimination and racism",,Male,White,Prefer not to say,At university,No,Yes
25/10/2026 18:16:48,22 to 25,Northern Ireland,BT9,No,"Independent careers advice in every school (a Connexions style service), A school nurse and a trained counsellor in every school, Free or capped bus travel for under-25s","Youth centres open at weekends, not just weekdays.","Crime, safety and policing",Everything costs more and nothing about young people’s pay has changed.,Education and curriculum for life,,2,5,1,5,3,5,1,4,6,1,4,3,8,6,7,10,9,8,9,5,10,8,9,9,10,9,10,6,8,6,10,8,10,4,6,8,"Mental health and wellbeing, Jobs, apprenticeships and work experience",Give us votes at 16 and watch how quickly politics starts taking young people seriously.,Female,White,No,At university,No,Yes
26/10/2026 13:10:05,13 to 15,Yorkshire and the Humber,HG1,Prefer not to say,"Funded open-access youth clubs and youth workers in every area, Sure Start style family and early years centres, Guaranteed work experience placements for every pupil",,Cost of living and financial security,,"Jobs, apprenticeships and work experience",,2,3,3,1,0,3,0,3,5,6,9,6,10,10,7,6,10,6,8,7,8,6,6,4,10,7,8,8,10,7,9,7,8,5,3,7,"Education and curriculum for life, Mental health and wellbeing",,Male,White,No,In school or college,Prefer not to say,Yes
26/10/2026 14:26:08,16 to 18,South East England,RH1,No,"Free or capped bus travel for under-25s, Guaranteed work experience placements for every pupil, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",,Mental health and wellbeing,People my age are scared on public transport and nobody talks about it.,"Crime, safety and policing",,2,5,2,4,3,3,0,4,5,8,2,5,10,9,10,4,9,5,10,9,6,10,7,7,8,10,6,9,7,7,8,6,7,6,2,5,"Cost of living and financial security, Jobs, apprenticeships and work experience",,Female,Mixed or multiple ethnic groups,Yes,At university,No,Yes
26/10/2026 11:12:50,16 to 18,Yorkshire and the Humber,,No,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Guaranteed work experience placements for every pupil, Sure Start style family and early years centres",,Housing and a place to live,Apprenticeships near me pay so little that you need parents who can support you.,Education and curriculum for life,,3,,,,3,2,0,,6,,,,10,,10,10,,4,,,,,7,,10,10,,6,,,,,,,6,5,"Crime, safety and policing, Climate and the environment",,Male,White,No,At university,No,Yes
26/10/2026 20:56:12,19 to 21,South East England,GU1,Yes,"Community sports facilities, playing fields and free swimming, Funded national youth voice structures (a British Youth Council style body), Restored further education and adult skills funding, and lower tuition fees",Free swimming for under-18s.,Mental health and wellbeing,,"Crime, safety and policing",Youth unemployment across the Commonwealth is the common thread in all of this.,2,2,2,4,2,1,3,4,4,4,5,6,9,9,10,10,10,7,10,7,5,7,6,9,5,8,5,9,10,8,9,6,7,7,4,4,"Education and curriculum for life, Digital life and online safety",,Female,White,No,In school or college,No,Yes
26/10/2026 11:14:10,13 to 15,London,,No,"Community sports facilities, playing fields and free swimming",,Youth services and safe places to go,,Housing and a place to live,,4,3,6,3,0,0,5,0,9,6,5,3,10,10,10,6,2,8,10,9,8,9,8,8,10,6,10,10,10,5,8,10,5,6,5,8,"Equality, discrimination and racism, Cost of living and financial security",,Female,White,No,At university,No,Yes
25/10/2026 13:49:59,13 to 15,Scotland,,No,"Arts, music and drama in the curriculum, and free or low-cost music tuition, Funded open-access youth clubs and youth workers in every area, Restored further education and adult skills funding, and lower tuition fees",Free school transport past the age of 16.,Housing and a place to live,My school had one careers adviser for eight hundred students.,Democracy and youth voice,,7,0,5,2,7,4,8,6,7,3,3,4,10,8,7,9,10,7,10,4,10,8,6,6,4,5,7,6,6,7,6,10,6,6,10,6,"Equality, discrimination and racism, Youth services and safe places to go",Bring back the things that were cut before you announce anything new.,Female,White,No,In school or college,No,Yes
27/10/2026 16:50:06,22 to 25,West Midlands,,No,"Local libraries and community spaces with longer opening hours, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Funded open-access youth clubs and youth workers in every area",Music lessons that are not only for people who can pay.,Youth services and safe places to go,,Education and curriculum for life,,,2,,,,6,,,,1,3,,8,6,,10,,,,5,4,,,6,,,7,,7,,,,,,4,,"Crime, safety and policing, Housing and a place to live","If you want us to trust institutions, give us something to trust. Fund youth services properly and keep them open.",Female,White,No,In school or college,No,Yes
25/10/2026 12:26:41,19 to 21,East of England,CB1,Yes,"Independent careers advice in every school (a Connexions style service), Free school meals for more pupils, and holiday food provision, Funded open-access youth clubs and youth workers in every area",,Cost of living and financial security,,Education and curriculum for life,,6,2,6,4,5,5,0,4,3,6,3,8,10,10,8,8,6,7,10,7,10,5,6,9,10,10,7,10,10,7,6,9,6,6,5,9,"Crime, safety and policing, Climate and the environment",,Male,White,No,At university,No,Yes
26/10/2026 16:42:55,13 to 15,South East England,,No,"Arts, music and drama in the curriculum, and free or low-cost music tuition, Free or capped bus travel for under-25s, Independent careers advice in every school (a Connexions style service)",,"Crime, safety and policing",The support exists on paper but nobody can actually access it.,Democracy and youth voice,,5,3,6,0,4,4,0,3,2,4,2,3,8,10,4,10,8,8,10,8,10,8,4,10,9,5,3,10,10,6,8,9,10,10,2,7,"Climate and the environment, Jobs, apprenticeships and work experience",,Female,White,Yes,In school or college,No,Yes
26/10/2026 17:28:15,13 to 15,Gibraltar,GX11,No,Funded open-access youth clubs and youth workers in every area,,Youth services and safe places to go,,Mental health and wellbeing,Corruption means money meant for young people does not reach us.,6,0,5,1,3,4,2,5,4,3,0,10,8,10,10,6,6,5,8,8,7,9,7,3,9,4,5,4,10,4,10,6,3,6,8,4,"Education and curriculum for life, Climate and the environment",Fund the youth workers. They are the only adults some of us actually trust.,Female,White,No,At university,No,Yes
27/10/2026 14:22:31,22 to 25,North West England,PR1,Yes,"Funded open-access youth clubs and youth workers in every area, Arts, music and drama in the curriculum, and free or low-cost music tuition","Youth centres open at weekends, not just weekdays.",Cost of living and financial security,,Democracy and youth voice,,3,2,7,,2,,,6,4,4,,3,,,,,,4,9,,,,10,8,10,,,,10,7,,9,,,,,"Mental health and wellbeing, Climate and the environment",Give us votes at 16 and watch how quickly politics starts taking young people seriously.,Male,White,No,In school or college,No,Yes
25/10/2026 14:47:32,19 to 21,Yorkshire and the Humber,HG1,No,"Free school meals for more pupils, and holiday food provision, A school nurse and a trained counsellor in every school, Funded open-access youth clubs and youth workers in every area",,Mental health and wellbeing,,Education and curriculum for life,,2,1,3,7,5,0,1,10,4,5,5,7,9,10,9,8,4,5,10,8,9,8,10,6,9,9,5,5,10,6,8,9,8,7,5,3,"Education and curriculum for life, Jobs, apprenticeships and work experience",Girls across the Commonwealth are still leaving education early. That should embarrass every leader in the room.,Male,Asian or Asian British,No,"Not in education, employment or training",Yes,Yes
25/10/2026 20:09:27,16 to 18,East of England,,No,"Free school meals for more pupils, and holiday food provision, A school nurse and a trained counsellor in every school, Independent careers advice in every school (a Connexions style service)",,Housing and a place to live,,Cost of living and financial security,,0,5,4,7,2,5,6,2,7,4,2,6,9,4,9,8,8,8,6,10,10,6,5,4,10,3,5,6,9,8,7,5,10,4,6,7,"Equality, discrimination and racism, Climate and the environment",Racism is still shaping who gets opportunities in every country here. Say so out loud.,Male,"Black, Black British, Caribbean or African",No,In school or college,No,Yes
26/10/2026 20:05:12,16 to 18,South East England,,No,"Independent careers advice in every school (a Connexions style service), Cheaper rail travel and a wider young persons railcard, Funded open-access youth clubs and youth workers in every area",,Mental health and wellbeing,,Education and curriculum for life,Climate change is already displacing people my age in Pacific member states.,3,2,8,4,4,6,2,6,3,7,10,8,7,9,10,4,9,9,10,4,8,8,8,7,8,8,7,9,8,8,2,7,4,6,7,10,"Cost of living and financial security, Jobs, apprenticeships and work experience",,Female,Other ethnic group,No,In school or college,No,Yes
26/10/2026 19:46:16,22 to 25,West Midlands,,No,"Funded open-access youth clubs and youth workers in every area, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Cheaper rail travel and a wider young persons railcard",Free school transport past the age of 16.,Cost of living and financial security,,"Jobs, apprenticeships and work experience",Youth unemployment across the Commonwealth is the common thread in all of this.,3,2,7,5,3,3,2,4,7,9,1,4,10,3,7,7,7,8,6,6,7,6,6,9,10,7,8,5,6,6,7,5,6,4,3,7,"Equality, discrimination and racism, Democracy and youth voice","Put a young person in the room when the decision is being made, not in the photograph afterwards.",Male,White,No,In school or college,No,Yes
26/10/2026 15:32:53,16 to 18,London,,No,"A school nurse and a trained counsellor in every school, Funded open-access youth clubs and youth workers in every area",,Education and curriculum for life,,Youth services and safe places to go,,5,5,4,4,3,5,2,4,8,6,4,4,9,6,10,10,8,7,10,6,7,6,7,10,7,10,6,8,10,9,10,8,8,7,4,7,Education and curriculum for life,,Female,Prefer not to say,No,In school or college,No,Yes
28/10/2026 20:24:58,16 to 18,West Midlands,,Yes,"Arts, music and drama in the curriculum, and free or low-cost music tuition, Funded open-access youth clubs and youth workers in every area",,Education and curriculum for life,Everyone I know is choosing between transport to college and lunch.,Education and curriculum for life,Youth unemployment across the Commonwealth is the common thread in all of this.,4,5,5,5,5,0,3,4,6,2,7,4,8,3,10,9,7,5,5,9,9,8,10,8,7,9,7,8,10,7,7,8,8,3,6,8,"Jobs, apprenticeships and work experience, Housing and a place to live",,Male,White,No,Working,Yes,Yes
28/10/2026 20:55:02,13 to 15,South West England,TR1,No,"Cheaper rail travel and a wider young persons railcard, Free school meals for more pupils, and holiday food provision, A school nurse and a trained counsellor in every school",Free school transport past the age of 16.,Cost of living and financial security,,Mental health and wellbeing,,4,2,8,2,2,2,5,4,3,6,8,6,8,7,9,6,7,10,10,4,5,10,7,9,10,6,10,9,8,5,2,10,7,2,6,7,"Education and curriculum for life, Jobs, apprenticeships and work experience",The cost of getting to college is the reason people drop out. Fix transport and you fix attendance.,Female,White,No,In school or college,No,Yes
26/10/2026 12:34:35,13 to 15,East Midlands,,No,"Free or capped bus travel for under-25s, Arts, music and drama in the curriculum, and free or low-cost music tuition, Guaranteed work experience placements for every pupil",,"Jobs, apprenticeships and work experience","Waiting lists where I live are over a year, and people get worse while they wait.",Digital life and online safety,,4,3,3,6,2,5,7,5,5,7,6,5,10,8,10,8,9,8,10,10,10,7,8,9,10,8,6,6,7,3,5,10,10,2,8,8,"Education and curriculum for life, Democracy and youth voice","Education across the Commonwealth should prepare us for the jobs that will exist, not the ones that did.",Male,White,No,Prefer not to say,Yes,Yes
29/10/2026 15:16:48,19 to 21,North West England,,No,"A school nurse and a trained counsellor in every school, Restored further education and adult skills funding, and lower tuition fees, Free or capped bus travel for under-25s",,Youth services and safe places to go,,"Crime, safety and policing",,4,2,6,6,4,3,1,2,4,4,0,5,10,9,10,7,9,5,10,10,5,8,7,8,6,7,8,9,8,6,9,10,6,7,5,8,"Transport and getting around, Education and curriculum for life",,Male,White,No,In school or college,No,Yes
28/10/2026 14:22:01,22 to 25,West Midlands,,No,"Sure Start style family and early years centres, A school nurse and a trained counsellor in every school",,Cost of living and financial security,,"Equality, discrimination and racism","Young people in some member states cannot finish school because of cost, not ability.",4,3,5,2,4,2,3,5,5,3,1,6,9,3,9,6,10,9,8,10,5,8,7,10,9,7,6,10,9,7,6,10,9,5,10,5,"Crime, safety and policing, Jobs, apprenticeships and work experience","Put a young person in the room when the decision is being made, not in the photograph afterwards.",Male,White,No,In school or college,No,Yes
28/10/2026 19:54:49,19 to 21,South West England,,No,"Independent careers advice in every school (a Connexions style service), Restored further education and adult skills funding, and lower tuition fees, Guaranteed work experience placements for every pupil",,Housing and a place to live,People my age are scared on public transport and nobody talks about it.,Education and curriculum for life,,4,1,5,4,0,7,2,4,6,6,3,7,10,9,9,6,10,10,9,7,9,8,7,5,7,5,10,9,10,6,6,6,3,4,5,9,"Climate and the environment, Cost of living and financial security",,Male,White,No,In school or college,No,Yes
27/10/2026 13:04:12,16 to 18,South West England,,No,"Independent careers advice in every school (a Connexions style service), A school nurse and a trained counsellor in every school, Community sports facilities, playing fields and free swimming",,Mental health and wellbeing,Everyone I know is choosing between transport to college and lunch.,"Crime, safety and policing",,1,1,,7,2,,,,,6,7,,,8,,,,,,,10,6,,,,,8,,,10,9,7,,,5,,Cost of living and financial security,,Female,White,No,In school or college,No,Yes
28/10/2026 18:24:20,19 to 21,London,IG1,Yes,"Independent careers advice in every school (a Connexions style service), Restored further education and adult skills funding, and lower tuition fees, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",,Cost of living and financial security,,Climate and the environment,,3,2,5,7,4,5,0,5,8,2,3,5,9,8,6,10,6,3,9,9,10,10,7,3,10,10,6,6,10,8,6,7,7,6,5,8,Climate and the environment,"Education across the Commonwealth should prepare us for the jobs that will exist, not the ones that did.",Male,White,Yes,Working,No,Yes
27/10/2026 16:27:24,13 to 15,East of England,CB1,No,"Sure Start style family and early years centres, Cheaper rail travel and a wider young persons railcard",,Mental health and wellbeing,There is nowhere to go in the evening since the youth centre closed.,Climate and the environment,Climate change is already displacing people my age in Pacific member states.,1,1,8,3,3,4,1,8,6,7,4,5,9,5,6,8,10,6,6,8,10,6,8,6,6,6,7,8,10,8,10,4,5,6,8,8,"Cost of living and financial security, Climate and the environment","Apprenticeships that pay less than rent are not opportunities, they are a trap.",Female,White,No,In school or college,No,Yes
28/10/2026 16:55:44,19 to 21,East of England,AL1,Yes,"Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study, Free or capped bus travel for under-25s, Free school meals for more pupils, and holiday food provision",,Youth services and safe places to go,,Mental health and wellbeing,,3,0,4,3,4,5,0,2,5,4,8,6,6,6,10,9,9,5,10,7,5,7,8,5,5,7,10,10,10,6,7,10,5,6,1,9,"Equality, discrimination and racism, Democracy and youth voice",,Female,"Black, Black British, Caribbean or African",No,In school or college,No,Yes
28/10/2026 11:16:57,16 to 18,West Midlands,,No,"Sure Start style family and early years centres, Restored further education and adult skills funding, and lower tuition fees, Education Maintenance Allowance (EMA) or an equivalent payment for 16–19 study",,Housing and a place to live,Rent takes most of my wages and I still live with my parents.,"Jobs, apprenticeships and work experience",,1,3,6,4,4,8,1,4,3,2,5,5,9,5,10,8,10,8,10,9,6,7,9,9,7,7,4,7,7,4,4,10,9,6,3,1,"Jobs, apprenticeships and work experience, Climate and the environment",Girls across the Commonwealth are still leaving education early. That should embarrass every leader in the room.,Female,White,No,At university,No,Yes
27/10/2026 18:36:44,22 to 25,South East England,,Prefer not to say,"Independent careers advice in every school (a Connexions style service), Community sports facilities, playing fields and free swimming, A school nurse and a trained counsellor in every school",Free school transport past the age of 16.,Climate and the environment,There is nowhere to go in the evening since the youth centre closed.,Education and curriculum for life,,6,0,3,4,9,5,3,1,6,6,8,7,7,9,10,10,6,6,6,9,8,6,8,7,7,9,6,8,9,6,8,9,7,6,8,5,"Jobs, apprenticeships and work experience, Climate and the environment",,Male,"Black, Black British, Caribbean or African",No,Apprenticeship or training,No,Yes
